Year,Records,Catch,GeoM,CPUE
1986,1265,112.9,27.8,1.2006
1987,1310,206.3,51.9,1.3547
1988,1026,95.7,28,1.0585
1989,1469,183.1,36.2,1.0846
1990,1524,147.4,28.3,0.9738
1991,1896,198.9,25.9,1.0437
1992,1632,102.1,17,0.7759
1993,2253,235.5,26.6,1.0532
1994,2110,247.8,30.9,1.284
1995,3515,426.8,31.9,1.3327
1996,3403,448,33,1.4014
1997,3732,577.4,37.3,1.4687
1998,3709,558.5,38.3,1.4493
1999,3794,427.9,30.4,1.142
2000,4656,509.3,28.6,0.9957
2001,5100,502.4,24.5,0.8818
2002,4633,429.6,21.5,0.7635
2003,3822,360.2,20.5,0.7668
2004,3901,306.2,17.7,0.7198
2005,2663,195.7,15.6,0.5997
2006,2322,210,17.9,0.6336
2007,2532,287.3,21.7,0.6936
2008,1795,214.2,24.6,0.8894
2009,1976,260.6,24.5,0.8644
2010,2337,272.2,21,0.8442
2011,2792,356.9,21.5,0.8427
2012,2342,345,25.7,0.8849
2013,1780,282.7,28,0.9964
2014,1948,285.1,24.8,0.9804
2015,1636,237.8,25.1,0.957
2016,1583,233.3,27.9,1.0629
